Date,League,HomeTeam,AwayTeam,HomeScore,AwayScore,OU_Line,TotalPoints,OU_Result,Home_Avg_MOV,Home_Avg_Pts_For,Home_Avg_Pts_Against,Home_Avg_OU_Hit_Rate,Away_Avg_MOV,Away_Avg_Pts_For,Away_Avg_Pts_Against,Away_Avg_OU_Hit_Rate,Avg_MOV_Diff,Avg_Pts_For_Diff,Avg_Pts_Against_Diff,Avg_OU_Hit_Rate_Diff
2022-11-23,NBA,Indiana,Minnesota,101,115,236.0,216,0,21.6,91.1,69.5,0.5,2.5,97.8,95.3,0.2,19.1,-6.700000000000003,-25.799999999999997,0.3
2022-11-23,NBA,Toronto,Brooklyn,98,112,222.0,210,0,-1.2,110.6,111.8,0.7,5.7,111.4,105.7,0.3,-6.9,-0.8000000000000114,6.099999999999994,0.39999999999999997
2022-11-23,NBA,Miami,Washington,113,105,209.0,218,1,-3.8,90.2,94.0,0.7,6.1,84.6,78.5,0.3,-9.899999999999999,5.6000000000000085,15.5,0.39999999999999997
2022-11-23,NBA,Boston,Dallas,125,112,221.0,237,1,5.7,89.9,84.2,0.6,0.6,104.0,103.4,0.6,5.1000000000000005,-14.099999999999994,-19.200000000000003,0.0
2022-11-23,NBA,Golden,Los,124,107,223.0,231,1,5.1,117.5,112.4,0.6,-1.1,113.5,114.6,0.6,6.199999999999999,4.0,-2.1999999999999886,0.0
2022-11-23,NCAAB,Miami,St.,79,56,142.0,135,0,-3.3,90.3,93.6,0.7,4.6,71.5,66.9,0.1,-7.8999999999999995,18.799999999999997,26.69999999999999,0.6
2022-11-23,NCAAB,Milwaukee,St.,72,76,146.0,148,1,0.6,113.3,112.7,0.4,3.6,71.3,67.7,0.1,-3.0,42.0,45.0,0.30000000000000004
2022-11-24,NBA,Los,Denver,104,114,219.0,218,0,-3.9,112.1,116.0,0.6,-1.9,89.4,91.3,0.6,-2.0,22.69999999999999,24.700000000000003,0.0
2022-11-24,NBA,Oklahoma,Chicago,123,119,233.0,242,1,5.6,101.8,96.2,0.7,-6.7,87.7,94.4,0.2,12.3,14.099999999999994,1.7999999999999972,0.49999999999999994
2022-11-24,NBA,San,Los,94,105,234.0,199,0,-1.6,75.6,77.2,0.4,-5.7,111.6,117.3,0.6,4.1,-36.0,-40.099999999999994,-0.19999999999999996
2022-11-24,NBA,Houston,Atlanta,128,122,233.0,250,1,-1.5,109.5,111.0,0.7,2.5,116.1,113.6,0.6,-4.0,-6.599999999999994,-2.5999999999999943,0.09999999999999998
2022-11-24,NBA,Memphis,New,132,111,227.0,243,1,1.8,102.0,100.2,0.5,-3.9,91.8,95.7,0.4,5.7,10.200000000000003,4.5,0.09999999999999998
2022-11-24,NBA,New,Portland,129,132,217.0,261,1,-5.7,96.5,102.2,0.5,-0.2,93.4,93.6,0.4,-5.5,3.0999999999999943,8.600000000000009,0.09999999999999998
